#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 07 23 00 296  4.1  5.5 99.00 99.00 99.00 999 1029.5  -3.2 999.0 -17.4 99.0 99.00
2019 01 08 00 00 293  4.4  5.0 99.00 99.00 99.00 999 1029.8  -3.2 999.0 -16.3 99.0 99.00
2019 01 08 01 00  11  3.8  4.6 99.00 99.00 99.00 999 1028.9  -3.2 999.0 -16.0 99.0 99.00
2019 01 08 02 00 354  2.1  2.6 99.00 99.00 99.00 999 1028.8  -2.6 999.0 -13.7 99.0 99.00
2019 01 08 03 00   8  3.4  4.1 99.00 99.00 99.00 999 1028.0  -3.2 999.0 -13.4 99.0 99.00
2019 01 08 04 00 114  4.1  4.9 99.00 99.00 99.00 999 1027.0  -1.6 999.0 -14.1 99.0 99.00
2019 01 08 05 00 131  4.4  5.4 99.00 99.00 99.00 999 1027.3  -1.2 999.0 -11.6 99.0 99.00
2019 01 08 06 00 154  3.6  3.9 99.00 99.00 99.00 999 1027.0  -1.0 999.0 -11.0 99.0 99.00
2019 01 08 07 00 274  5.3  6.0 99.00 99.00 99.00 999 1027.4  -3.0 999.0 -10.8 99.0 99.00
2019 01 08 08 00 288  0.8  1.3 99.00 99.00 99.00 999 1026.1  -2.6 999.0 -10.3 99.0 99.00
2019 01 08 09 00 215  2.9  3.1 99.00 99.00 99.00 999 1024.8  -1.8 999.0  -8.8 99.0 99.00
2019 01 08 10 00 185  2.8  3.8 99.00 99.00 99.00 999 1023.3  -2.8 999.0  -3.3 99.0 99.00
2019 01 08 11 00 174  3.0  3.4 99.00 99.00 99.00 999 1022.9  -1.7 999.0  -3.2 99.0 99.00
2019 01 08 12 00 178  9.8 10.9 99.00 99.00 99.00 999 1022.0   0.2 999.0  -2.5 99.0 99.00
2019 01 08 13 00 164 11.3 13.1 99.00 99.00 99.00 999 1020.9   0.8 999.0  -0.9 99.0 99.00
2019 01 08 14 00 179 12.6 13.8 99.00 99.00 99.00 999 1020.2   1.8 999.0  -0.1 99.0 99.00
2019 01 08 15 00 185 11.7 13.8 99.00 99.00 99.00 999 1019.4   2.7 999.0   0.4 99.0 99.00
2019 01 08 16 00 188 12.2 13.4 99.00 99.00 99.00 999 1017.5   3.1 999.0   2.6 99.0 99.00
2019 01 08 17 00 188 12.5 13.6 99.00 99.00 99.00 999 1015.8   3.4 999.0   3.2 99.0 99.00
